,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,label
0,-279.50412,105.17665,22.293432,50.60903,-0.6553712,37.712746,-46.792007,28.07226,-16.843035,13.662006,-13.667908,4.8222904,-8.87646,7.113034,4.430694,-9.44117,1.4662418,0.6972875,1.0967051,-10.293423,4.4647603,-8.5763645,0.20640618,-4.3623605,-1.567579,-1.6566334,-1.7192587,-3.132814,-0.42853317,-2.1009471,-0.91432244,-3.265674,-1.3281375,-2.1954484,-1.7162186,-0.7299976,-3.8837166,-0.15272257,-3.0576956,-1.9580507,-2.1381898,-2.2640724,-3.7290142,-2.64644,-2.6748478,-1.4742395,-0.8791442,0.025218489,0.74738157,1.9678661,1.663335,1.2147027,0.1794437,-0.67763335,-0.76195985,-0.317656,0.15885527,0.0933893,-0.9603208,-1.1640697,-0.640818,-0.5604654,0.5376186,-0.77842736,-1.0071633,-1.0517856,-0.8935555,-0.5641069,-0.25646,-0.4559858,-1.0433578,-1.1801624,-0.8676659,-0.20764661,-0.63992316,-1.0733935,-0.6103126,-0.8132734,-0.9051284,-0.96176803,-0.8713481,-0.29146343,-0.32985607,-0.7783095,-0.33794636,-0.2401078,-0.96579087,-0.4544525,-0.50872666,-0.6315631,-0.7206577,-0.51951784,-0.47266448,-0.7159759,0.061389185,-0.24305521,-0.3125786,-0.14224556,-0.1600809,-0.20623027,7masa
1,-153.32477,126.44988,-5.4622526,31.283978,-17.98906,29.179432,-43.34127,19.993721,-23.94851,12.839014,-10.049775,9.247097,-6.6118927,-7.045868,6.064208,-8.264826,-4.485215,-5.398535,-0.061540335,-8.916069,-0.02803114,-7.2527905,-0.9190867,-6.8341804,-2.1863842,-5.658022,-3.4388833,-7.6034603,-3.6865935,-5.8123293,-6.6591015,-1.6893425,-3.1746383,-1.6954272,-0.98200834,3.5940418,3.3920918,4.22246,3.3439417,2.4960709,-2.553629,-2.1552,-2.1153393,-0.8103982,-2.0343418,-2.1629453,-0.2888997,0.55507797,1.2584491,-1.4511654,-3.1374898,-2.943081,-1.0826728,0.17975408,-1.2736295,-0.35384458,-1.8638808,-2.428434,-1.2478873,-1.0741647,-0.5336413,-1.8133957,-1.8859516,-1.6752042,-1.4242604,-1.3007265,-0.8725762,-1.0608292,-0.68480504,0.5646017,1.1853621,0.35011518,0.4555992,0.71372235,1.1371558,0.545362,0.14758524,0.59919035,1.0139588,0.09061968,0.20262572,0.49888667,-0.36607838,-0.23625089,0.15570293,0.004505351,-0.67316425,-0.9849911,-0.51595414,-0.31746808,-0.97154903,-0.39786065,-0.8126894,-0.2509695,-0.49634385,-0.083921835,-0.11630939,-0.6874201,-0.82362294,-0.7726476,7masa
2,-291.81314,144.69473,12.60906,48.46012,-13.533754,21.293814,-28.518505,27.20094,-23.412363,12.875666,-2.4517932,4.310859,1.9873614,-4.9491587,3.4357278,-7.98755,-4.34192,-6.1253476,-2.7165763,-10.421628,3.1044366,-10.097019,-2.4536784,-0.6330395,-6.0429754,-8.483746,-1.1986157,-2.8611681,-4.118816,-3.7284405,-4.8492627,-3.6533177,-4.793551,-2.4685369,-6.9092317,-4.9274373,-10.054399,-7.443394,-5.6818295,-4.400285,2.6875427,11.48903,11.825794,12.271123,7.5074987,-1.3249482,-6.293539,-8.430524,-4.7849946,-0.70427287,-0.50862116,-2.9696448,-2.8418024,-3.3000743,-1.8830414,1.6183871,1.0140665,-3.9377182,-2.5322828,0.24345294,0.56977135,-0.44370878,-1.8227124,-2.866595,-1.9571143,1.0958855,-0.44736132,-2.9083693,-2.2079847,1.0959818,0.3018445,-1.6868314,-1.0492991,-0.34844315,0.5234338,-0.4759424,-2.1318622,-0.9608106,-0.24659911,-0.18463665,-1.9673648,-1.6709918,0.86820084,2.354209,2.0140111,2.1514509,2.9688132,1.2202368,0.49266884,1.0289066,1.2811426,0.586474,-1.668057,-0.5533685,0.06367331,-1.485642,-1.1874514,0.606059,0.15793951,-1.6238755,7masa
3,-246.1312,145.2761,-5.050489,31.08019,-18.58065,36.77917,-42.27765,23.503204,-19.990332,25.502209,0.1091032,8.1936035,-17.307915,-5.2214003,14.381136,-10.692442,-2.6348531,-0.015876174,-6.324646,-5.420651,5.942164,-11.426987,-3.7632298,-1.2009964,-5.91765,-1.6502702,1.7829242,-6.245178,-0.50244254,-5.8323317,-3.9993606,-5.8874,-8.277701,-5.2774568,0.684299,1.3503474,6.432754,4.711794,-0.56008166,-0.5023389,-4.5805745,-1.8080382,-1.3888943,1.258335,-1.8965595,-5.143265,-4.3091,-0.037023008,0.70195377,0.21441479,-3.9042888,-5.3274026,-2.4628446,1.9100804,-2.1292562,-2.1011288,-1.9299493,-0.49333668,-0.1681372,-2.5403001,-2.8070762,-0.73064375,0.41569036,-1.6707058,-2.6857057,-2.479735,-0.06512755,-1.4919641,-1.7166295,-1.1462263,3.2131553,2.458709,0.09844178,-0.34230307,0.37089944,0.1092394,-1.9251721,-0.59249586,1.9004503,-0.076484576,-1.0157614,-0.49376312,-0.23483022,0.11017178,-1.2153292,-0.48493296,-0.44807172,-1.7173305,-1.563049,0.9961768,-0.2723795,-1.654703,-1.1968522,-0.7686173,-0.677539,-0.2352707,0.17411488,-0.47428927,-1.5675514,0.059383392,7masa
4,-296.19217,152.80899,31.136812,46.29347,-13.814946,22.733232,-24.074972,17.702084,-8.48279,8.144162,-9.326595,1.2252647,-6.2306657,-3.714158,7.6774926,-13.011058,2.778915,-4.11304,-2.8428302,-6.920566,-1.2178319,-5.8865047,-1.9220476,-3.0683153,-3.0155027,-1.907973,-1.6654959,-2.6710653,-1.9970325,-1.4788809,-4.4999127,-3.0229056,-6.226679,-3.32057,-3.628372,-0.7477069,-4.0265584,-2.0129828,-3.210925,-3.3480353,0.5914594,0.56728953,1.3323007,-0.72642046,-0.97060764,-1.420411,-0.6284318,0.84394515,1.4975618,-0.10567306,-0.41777128,-2.4084904,-2.6544518,-1.1243204,-1.6474211,-1.3351827,0.11421594,-0.6356899,-1.4731627,-0.6235475,-0.73260826,-0.30591768,-1.0127774,-1.3616458,-1.0729519,-0.60080206,-0.7977459,-1.0048604,-1.0226967,-0.21196632,-0.086079136,-0.8773826,-1.2036035,-0.6318548,0.22726698,-0.25671646,-0.34627968,-0.5727408,-0.43014133,-0.56172967,-0.68191266,0.23720647,-0.038863096,-0.088708974,0.15008448,-0.0699539,-0.5977598,-1.2659446,-0.6628567,-0.23262702,-0.25905085,-0.11087423,0.024818256,-0.15766664,0.03157765,0.14384705,0.070500165,-0.05360284,-0.44850737,-0.70951086,7masa
5,-301.30396,140.41293,18.558771,39.448788,-22.82195,23.915735,-30.717915,29.919836,-28.026094,16.686293,-7.4972353,3.8050148,1.2690434,-1.399143,2.547997,-9.668756,3.532587,-2.860437,-0.008399994,-7.2600856,1.4284667,-4.6688285,-2.7340207,-1.2414279,0.9904414,-5.3204036,-2.1161244,0.018110154,-2.4402485,-3.4297302,0.41517466,-4.271742,-2.47106,-3.2149816,-2.893002,-3.467118,-3.112591,-0.88676965,-5.255,-0.7278143,-3.6723814,-2.6944132,-2.9038153,-3.357769,-2.4536192,-1.8732879,-0.42783466,1.0155815,2.0084462,3.5740285,2.5837276,1.5516721,-0.24888976,0.04697673,-0.19462098,1.3880628,1.7855625,1.3566048,0.035679426,-0.10791709,0.69382393,-1.0097132,-0.72089064,-1.5171748,-0.6392197,-1.8339369,-0.418661,0.42296547,0.07004241,-0.23181573,-1.1361634,-1.2591556,-0.9947582,-0.2482455,0.03679689,-1.5010743,-0.89935905,-1.1181227,-0.5957021,-0.7874797,-0.6748427,-0.44222146,-1.1682466,-0.44776386,-0.52327645,-0.49721637,-1.3084079,-0.5918461,-0.87609875,0.08605517,-0.5438904,-0.673389,-0.6266967,-0.27737534,-0.2697812,-0.38029855,0.093723655,-0.25983858,-0.3816776,-0.313428,7masa
6,-362.38077,125.14686,24.216934,45.807396,-5.758093,25.031816,-27.192787,26.71048,-22.958954,14.171389,-0.60784554,-1.1722953,2.3983567,2.463699,3.9772613,-10.579288,1.5326973,-4.0217195,-3.1567233,-8.309081,-0.44749558,-6.1015406,-4.0942802,-1.093325,-0.018671405,-3.5998619,-1.5593868,1.2960306,-0.2721403,-2.7018778,1.6202958,-1.4559458,-2.7328568,0.64826995,-1.6950905,-1.6676469,-2.5212057,-0.58345765,-2.8591194,-2.1328382,-2.7634275,-3.0955172,-2.1135254,-2.9102442,-1.7243842,-1.7006174,-0.6764111,-0.4966108,-1.8614829,-1.3996476,-1.5522668,-1.8124995,-1.7094895,-0.8717573,-1.3978628,-1.8010794,-2.717284,-1.3984445,-0.78130794,0.17211157,1.0955435,1.4249984,2.74372,1.7033055,1.6570663,1.4282953,0.8636455,0.37602133,-0.3801521,-0.3755562,-0.47489342,-0.923126,-0.508575,-0.27556202,0.050401263,-1.448209,-0.9579256,-0.561125,-0.51411366,-0.49369037,-1.0502795,-0.69091064,-1.0482477,-0.42781463,0.20415471,-0.2067358,-1.203829,-0.5387612,-0.16417475,-0.083682716,-0.28473955,-0.613366,-0.40173528,-0.41543776,0.016755722,-0.2105158,-1.0498544,-0.5913358,-0.14103785,-0.84541315,7masa
7,-299.4349,127.99237,12.763124,45.110165,-6.3579674,32.03251,-33.9029,25.83752,-18.730911,11.621562,-3.7505312,3.3343358,-7.856936,1.4916186,4.366455,-10.668986,0.40036875,-5.1077294,-2.7287955,-6.4681206,0.34358257,-7.3987646,-1.4358279,-3.9863474,-2.083208,-4.234006,-1.9380809,-2.1758475,-1.2251859,-3.7590117,-1.012681,-1.3879805,-3.3247554,-1.261427,-1.9211911,-2.5649111,-4.2786245,-1.4548452,-2.274666,-3.053304,-1.3474698,-0.38441092,-1.5137666,-0.57745326,-0.79104906,-1.9607911,-2.1148808,-0.47004732,-1.2945299,-0.48516297,-1.1817815,-1.6661887,-1.2702242,-0.9679921,-1.1412829,-0.2466672,0.13266695,0.6176415,0.7012113,1.20952,0.1501007,-1.2387861,-1.3031614,-1.1835291,0.5398779,-0.19848783,-0.17433819,-0.7721629,-0.55725664,-0.91347855,-0.05160595,-0.50669986,-1.8116771,-1.6159661,-0.91032934,-0.55527437,-0.50611866,-0.40770173,-0.4183845,-0.19829325,-0.48488316,-0.79345846,-0.5271873,-0.26316628,-0.28848156,-0.11849908,-0.37163922,0.106026046,-0.5584487,-0.4175449,-0.54932976,-0.49054733,-0.6942948,-0.61332715,0.13027239,0.18675937,-0.076644294,-0.20116329,0.30922732,-0.28584024,7masa
8,-217.42992,131.33582,26.341743,37.161583,-15.058234,31.53719,-35.190548,22.749882,-29.12427,10.763377,-10.845104,7.445819,-1.6328124,-4.638107,5.26242,-9.544061,-1.6869695,-0.11875003,-4.1166353,-9.452662,6.2814703,-10.619933,0.5375658,-0.04957245,-1.6686841,-4.487658,1.5952188,-3.2994332,-2.2068505,-0.17690805,-3.9944472,-2.0263896,-1.9880189,-2.828678,-2.9926984,-3.4074693,-7.295983,-1.1006808,-4.1678667,-3.9233518,-1.8449416,-1.7005575,-1.2327577,1.7071898,2.5933747,4.284274,5.1899514,3.268764,2.188595,1.6290654,-1.1798433,-0.102689855,1.4694511,0.16050097,0.22471699,-0.9801655,-0.59652317,-1.609155,-0.8813203,-0.2011307,-0.77385384,-1.6727798,-1.7482613,-1.2962734,-1.2162224,-1.1218832,-1.768792,-1.8302286,-1.7963717,-1.6843925,-1.5567538,-0.6747531,-0.21413621,-1.0624299,-1.0507512,-0.14485131,0.13487731,-0.9091823,-0.96538615,-1.0785894,-0.4160353,-0.15557617,-1.1292974,-0.8342604,-0.26051772,0.19968812,-0.693176,-1.3767688,-0.4160843,0.93641686,0.9423523,-0.299443,-0.46686995,0.36819634,-0.063486114,-0.309847,-0.051235788,0.40270334,0.3022886,0.14460427,7masa
9,-252.02615,139.01343,8.576803,52.59364,-1.0649179,33.34193,-38.31646,24.05385,-14.609864,9.703374,-12.631531,3.3440259,-5.0598664,-3.6815236,6.8614717,-6.084939,-1.5451765,-2.874614,-0.52222925,-8.30938,0.5718767,-6.007885,2.597565,-6.0054927,-1.2798938,-2.536302,0.011608755,-3.0980392,-0.9250415,-0.5085699,-2.032917,0.6914709,-3.421972,-1.2618809,-2.8674507,-1.2627288,-4.7244606,-2.7619514,-3.01748,-3.5905454,-4.7256727,-3.8368433,-3.108202,-2.1387317,0.53029114,1.7425133,3.368382,3.4960465,2.8461654,1.9395735,0.14130542,-0.991206,0.46542493,0.81571376,0.91018474,0.7998443,0.12435517,0.3238781,0.49968582,0.71950746,-0.45074022,-0.82221454,0.26019898,0.46020085,-0.3786099,-1.2750674,-0.84639114,-0.5503243,-0.86121273,-1.4599371,-0.27789098,-1.1797448,-1.4962804,-0.7890285,-1.0125024,-0.674834,-1.0535415,-0.607131,-0.72744334,-0.5283006,-0.29082367,-0.37089878,-0.15602197,-0.36769745,-0.47793743,-0.6125807,-0.92424107,-0.86655307,-0.6739284,-0.54594725,-0.04924094,-0.07419616,-0.48772603,0.34460407,0.06712461,-0.2607136,0.3780113,-0.08237762,-0.55082977,-0.9452197,7masa
